ID,Data,City,STATE,Type,Ideology,Address,group,description
1696,2/1/06,New Bedford,MA,Terrorist Plot/Attack,Right Wing (White Supremacist),"426 N Front St New Bedford, MA 02746",,"White supremacist Jacob Robida killed himself in February 2006 after attacking patrons in a gay bar in New Bedford with a hatchet and firearm, wounding three. He fled to West Virginia, picked up a female companion, and continued his flight west. Pulled over by a police officer in Arkansas, he shot and killed the officer. Later cornered by police, he killed his companion and then himself.
"
2695,3/3/08,Woodinville,WA,Terrorist Plot/Attack,Left Wing,"Echo Lake Rd High Bridge, WA 98296",Earth Liberation Front,"Earth Liberation Front activists set fire to three homes, leaving a sign mocking the builders' claims that the houses were environmentally friendly.
"
2227,8/2/08,Santa Cruz,CA,Terrorist Plot/Attack,Left Wing,,Animal Liberation Front,"The Animal Liberation Front claimed responsibility for two firebombings targeting two researchers' properties, one of which was a front porch. One victim suffered injuries after escaping from the second-floor window of the burning home.
"
2694,12/12/08,Woodburn,OR,Extremist Murder;Terrorist Plot/Attack,Right Wing (Anti-Government),1755 Mount Hood Ave Woodburn OR 97071,,"Bruce A. Turidge, and his son Joshua A. Turnidge, both anti-government extremists, killed two police officers and critically injured a third after planting a bomb at a small Oregon bank as part of a robbery attempt.
"
335,1/21/09,Brockton,MA,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (White Supremacist),"103 Clinton St Brockton, MA 02302",,"Keith Luke, 22, went on a racially motivated shooting spree in which he killed two Cape Verdean immigrants and critically injured (and raped) a third, before being stopped on his way to open fire at a synagogue. In May 2013, Luke was sentenced to two consecutive life sentences without parole for the 2009 rampage. In May 2014, correctional officers found him dead of an apparent suicide.
"
2648,3/7/09,Westwood,CA,Terrorist Plot/Attack,Left Wing,,Animal Liberation Front,"Animal Liberation Front activists set fire to a UCLA neuroscientists' car, claiming he used methamphetamines and other street drugs on monkeys.
"
2598,6/10/09,Washington,DC,Extremist Murder;Terrorist Plot/Attack,Right Wing (White Supremacist),"100 Raoul Wallenberg Pl SW, Washington, DC 20024",,"White supremacist James Von Brunn, 88, brought a rifle into the U.S. Holocaust Memorial Museum and opened fire, killing a security guard before being critically injured by return fire from another guard. Von Brunn was arrested and charged with murder. He died of natural causes while awaiting trial.
"
2251,10/31/09,Seattle,WA,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Left Wing,"714 S Charles St Seattle, WA 98134",,"Christopher John Monfort, 41, firebombed four police cars; police investigating that crime encountered Monfort, who shot and killed one officer and wounded another. He was shot in return and captured.
"
154,2/18/10,Austin,TX,Extremist Murder;Terrorist Plot/Attack,Right Wing (Anti-Government),"9430 Research Blvd Austin, TX 78759",,"Tax proteser Andrew Joseph Stack flew a plane into an IRS office building, killing himself and one other person in the process, and wounding 13 more.
"
87,3/4/10,Arlington,VA,Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (Anti-Government),"Richmond Hwy./VA 110 at I-395, Arlington, Virginia",,"Pentagon officers shot John Patrick Bedell, who drove to the building from California and opened fire at a security checkpoint. Bedell wounded two officers, who returned fire. He died due to his injuries.
"
757,4/30/10,Denver,CO,Terrorist Plot/Attack,Left Wing,"510 South Colorado Boulevard in Glendale, Colorado",Animal Liberation Front,"Animal Liberation Front activists set fire to a sheepskin factory, burning it to the ground. Walter Edmund Bond was arrested in connection to the fire.
"
2117,6/5/10,Salt Lake City,UT,Terrorist Plot/Attack,Left Wing,"1107 S State St Salt Lake City, UT 84111",Animal Liberation Front,"Walter Edmund Bond, an Animal Liberation Front activist, set fire to a leather factory store, causing extensive damage.
"
2215,7/7/10,Sandy,UT,Terrorist Plot/Attack,Left Wing,"8256 S 700 E, Sandy, UT 84070",Animal Liberation Front,"An Animal Liberation Front activist set fire to a restaurant, causing damages but no casualties.
"
1807,7/18/10,Oakland,CA,Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (Anti-Government),"I-580 in Oakland, California",,"Law enforcement officers shot and wounded Byron Christopher Williams after he opened fire on four California Highway Patrol officers who stopped him for speeding and weaving through traffic. Williams, spurred by racism and anti-government sentiment, was on his way to conduct shootings at liberal non-profit organizations.
"
100,7/27/10,Astoria,OR,Terrorist Plot/Attack,Left Wing,,Animal Liberation Front,"Members of the Animal Liberation Front firebombed a farm because they believed it was an active mink farm, damaging vehicles and buildings.
"
442,9/26/11,Caldwell,ID,Terrorist Plot/Attack,Left Wing,"14950 US-20, Caldwell, ID 83607",Arson Unit branch of the Animal Liberation Front,"A group calling themselves the ""Arson Unit"" drilled a hole into the Rocky Mountain Fur Company storage space and pumped several gallons of fuel into it, setting it on fire and causing extensive damage.
"
1427,12/4/11,Ludowici,GA,Extremist Murder;Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Private Isaac Aguigui, Private Christopher Salmon, Sgt. Anthony Peden, and PFC Michael Burnett were members of a militia group called Forever Enduring Always Read (FEAR). They murdered fellow FEAR member, Michael Roark, and his girlfriend, whom they suspected might become an informant. FEAR leader Isaac Aguigui was also charged with murdering his pregnant wife in order to get insurance money with which to buy guns, ammunition and other materials for the group’s actions. All but Burnett pleaded guilty to the murders and are serving life sentences.
"
942,1/8/12,Fresno,CA,Terrorist Plot/Attack,Left Wing,,Animal Liberation Front,"Animal Liberation Front activists set fire to a fleet of cattle trucks at Central Valley Ranch, California's largest processor of beef.
"
585,4/20/12,Cleveland,OH,Terrorist Plot/Attack,Left Wing,OHIO 82 bridge,,"Five self-proclaimed anarchists were arrested while attempting to detonate eight packs of plastic explosives strapped to a concrete abutment of the OH 82 bridge.
"
530,5/16/12,Chicago,IL,Terrorist Plot/Attack,Left Wing,"130 East Randolph Street Chicago, IL 60601",,"Brent Vincent Betterly, 24, Brian Church, 20, and Jared Chase, 27, were arrested for preparing Molotov cocktails and assembling weapons in preparation for committing terrorist acts of violence and destruction, directed at different targets, in protest of the upcoming NATO summit.
"
1798,8/5/12,Oak Creek,WI,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (White Supremacist),"Sikh Temple of Wisconsin, 7512 S. Howell Avenue, Oak Creek, Wisconsin, United States",Multiple Groups,"Wade Michael Page opened fire at a Sikh temple in Oak Creek, WI, in August 2012, killing six people and wounding four others, including a police officer responding to the shootings. Page killed himself at the scene after being shot by police. Page was a member of the Hammerskins, a racist skinhead group. He also played in the white power bands End Apathy and Definite Hate.
"
2592,8/15/12,Washington,DC,Terrorist Plot/Attack,Left Wing,"801 G St NW, Washington, D.C.",,"Floyd Corkins opened fire at the offices of the Family Research Council, wounding a security guard. Corkins was arrested shortly thereafter.
"
7614,11/15/12,Ridgewood,NJ,Terrorist Plot/Attack,Left Wing,"New York, NY 10004",,"In March 2019, Dr. Roberto Rivera was sentenced to 25 years in prison for a 2012 plot to blow up the Wall Street Bull statue in New York City. Rivera said he conceived of the plot while taking part in the Occupy Wall Street movement in 2011.
"
2254,2/25/13,Seattle,WA,Terrorist Plot/Attack,Left Wing,,,"A group of anarchists set fire to a construction site, causing $60,000 in damages.
"
1225,3/17/13,Lafayette,CO,Extremist Murder;Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Evan Ebel, a member of the 211 Crew, a Colorado-based white supremacist prison gang, murdered a pizza delivery man, then used the victim’s clothes as a ruse to assassinate Colorado Department of Corrections director Tom Clements. He died days later in a shootout with Texas law enforcement officers.
"
1406,11/1/13,Los Angeles,CA,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (Anti-Government),"LAX, Los Angeles, CA 90045",,"Anti-government extremist Paul Anthony Ciancia shot and killed one TSA officer at LAX, wounding two additional TSA officers and a traveler. Ciancia referred to himself as a ""pissed-off patriot"" who believed his constitutional rights had been violated.
"
1867,4/13/14,Overland Park,KS,Extremist Murder;Terrorist Plot/Attack,Right Wing (White Supremacist),"5801 W 115th St, Overland Park, KS 66211",,"White supremacist Frazier Glenn Miller was arrested after he launched an attack on Jewish institutions in the greater Kansas City area, opening fire at two institutions in a shooting spree that took the lives of three people, including one child. Miller was convicted of capital murder charges and in November 2015 was sentenced to death.
"
1284,6/8/14,Las Vegas,NV,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (Anti-Government),"309 N Nellis BlvdLas Vegas, NV 89110",,"Husband and wife militia members Jerad Dwain Miller and Amanda Miller murdered two police officers as they ate lunch, then murdered another person in a nearby Walmart. Amanda Miller later fatally shot herself, and her husband died in a shootout with police.
"
2482,7/11/14,Tremonton,UT,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"John Huggins was arrested in July 2014 on explosives charges. He was plotting to ""cause the community to rise up against the government."" During the investigation, agents conducted a search of Huggins’s home and allegedly found notebooks detailing the activities of Tremonton police officers and instructions on how to build bombs, as well as an improvised device and other explosive materials.
"
1184,9/11/14,Kansas City,KS,Terrorist Plot/Attack,Left Wing,"101 W 31st St, Kansas City, MO 64108",,"Eric King, whom police described as an anarchist, threw two Molotov cocktails at the office of U.S. Congressman Emanuel Cleaver.
"
156,11/1/14,Austin,TX,Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (White Supremacist),"5202 E Ben White Blvd #150, Austin, TX",,"Larry Steve McQuilliams, a Christian Identity adherent, went on a shooting rampage firing over 100 rounds of ammunition at targets including the Austin Police Department, a federal courthouse and the Mexican consulate. McQuilliams died at the scene after an Austin police officer shot him at long range.
"
2340,11/13/14,St. Louis,MO,Terrorist Plot/Attack,Left Wing,"St. Louis, MO 63102",New Black Panther Party,"Brandon Orlando Baldwin and Olajuwon Ali Davis, members of the New Black Panther Party, were arrested after they plotted to blow up the Gateway Arch and murder the Ferguson police chief and prosecutor who handled Michael Brown's case. The plotters also had connections to the anti-government sovereign citizen movement.
"
1194,2/23/15,Kent,OH,Terrorist Plot/Attack,Left Wing,,,"A group of anarchists set fire to two Reserve Officers' Training Corps vans.
"
492,6/17/15,Charleston,SC,Extremist Murder;Terrorist Plot/Attack,Right Wing (White Supremacist),"110 Calhoun St, Charleston, SC 29401",,"White supremacist Dylann Storm Roof murdered nine people in a racially motivated shooting spree at the Emanuel African Methodist Episcopal Church.
"
1802,7/4/15,Oak Ridge,TN,Extremist Murder;Terrorist Plot/Attack,Right Wing (Anti-Government),"1403 Oak Ridge Turnpike, Oak Ridge, TN 37830",,"Sovereign citizen Lee Harold Cromwell rammed his truck into a crowd of people at a Fourth of July celebration, killing one and wounding nine others. He was charged with reckless vehicular homicide and eight counts of reckless aggravated assault. Cromwell was convicted in February 2017 and sentenced to 12 years in prison in June 2017.
"
1230,7/23/15,Lafayette,LA,Extremist Murder;Terrorist Plot/Attack,Right Wing (White Supremacist),"3141 Johnston St, Lafayette, LA 70503",,"White supremacist John Russell Houser, who was obsessed with what he perceived as the moral decay of the United States, shot and killed two people and injured nine others when he opened fire during a screening of the movie ""Trainwreck.""
"
685,7/7/16,Dallas,TX,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Left Wing,,,"Micah Xavier Johnson, a black nationalist, opened fire on police officers guarding a protest, killing five and wounding nine more in retaliation for an earlier police shooting. During a subsequent standoff he said he wanted to kill white people, especially white police officers. He was killed by police during the standoff.
"
194,7/17/16,Baton Rouge,LA,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Left Wing,,,"Law enforcement killed anti-government extremist Gavin Eugene Long after he ambushed officers responding to a call about a suspicious person with an assault rifle. Long shot and killed three officers, and then in a second shootout at a different location, he injured three additional officers.
"
708,7/17/16,Daytona Beach,FL,Terrorist Plot/Attack,Left Wing,,,"An assailant threw an incendiary device at a parked police vehicle. A note left at the scene read, ""Black Lives Matter.""
"
7619,10/11/16,Nederland,CO,Terrorist Plot/Attack,Left Wing,,,"David Ansberry received a 27-year sentence in January 2019 for a 2016 attempt to explode a bomb outside a police station in Nederland, Colorado, in retaliation for the 1971 death of a friend at the hands of a police officer.
"
1747,3/30/17,New York,NY,Extremist Murder;Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist James Harris Jackson traveled from Maryland to New York City to attack black men in an effort to deter white women from entering into interracial relationships. He fatally stabbed Timothy Caughman, a homeless black man, to death with a 26-inch ""mini sword"" before turning himself in to police and was charged with second-degree murder as a hate crime and, later, with state charges of terrorism.
"
1621,5/16/17,Missoula,MT,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Lloyd Montier Barrus, and his son Marshall Barrus, both anti-government extremists, deliberately attacked and murdered a Broadwater County sheriff's deputy, Mason Moore. Police shot and wounded the younger Barrus in the head after he fired at them and then arrested the elder Barrus and charged him with deliberate homicide and 16 counts of attempted deliberate homicide.
"
8152,7/28/18,Carmel,IN,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Nolan Brewer plotted to burn down a synagogue in Carmel, Indiana. However, when he showed up he was deterred by its security cameras and at the last minute committed an act of vandalism instead. He pleaded guilty to a federal hate crime and received a three-year sentence.
"
5126,10/27/18,Pittsburgh,PA,Antisemitic Incident:Assault;Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Robert Gregory Bowers, 46, conducted a deadly shooting spree at the Tree of Life synagogue, killing 11 and wounding seven more. Bowers appears to have been motivated by anti-Semitic and anti-immigrant convictions.
"
10590,12/8/18,Toledo,OH,Terrorist Plot/Attack,Left Wing,,,"FBI agents arrested Elizabeth Lecron and Vincent Armstrong on charges related to an alleged plot to attack a bar in Toledo and to blow up a pipeline in Georgia. Although the planned bar attack appears to have had no motive other than Lecron's fascination with mass murder, the plot to blow up a pipeline, as well as other violent acts she discussed, such as attacking a factory for polluting a local river or a livestock farm to set livestock free, seem to have been motivated by left-wing and/or anarchist beliefs. Lecron allegedly told one undercover officer or informant that she wanted to meet ""other anarchists."" Both Lecron and Armstrong pleaded guilty to various charges.
"
7612,2/15/19,Silver Spring,MD,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Coast Guard lieutenant Christopher P. Hasson, a white supremacist, was arrested by federal authorities on weapon and drug charges in connection with an alleged terrorist plot to attack politicians and media figures.
"
7617,2/22/19,Cambridge,MN,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Sovereign citizen Dennis Duanne Vann was charged with making threats of violence and fleeing police in connection with an armed standoff and a pig-shaped explosive device with an anti-police message on it. According to police, Vann made references to having an IED and claimed that ""cops are going to die.""
"
8153,3/24/19,Escondido,CA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist John T. Earnest allegedly set fire to a mosque in Escondido, California, leaving behind graffiti that referenced Brenton Tarrant's white supremacist shooting spree in New Zealand earlier that month. People inside the mosque were able to put out the fire.
"
8149,4/27/19,Poway,CA,Antisemitic Incident:Assault;Extremist Murder;Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist John T. Earnest allegedly opened fire at a synagogue in Poway, California, killing one person and injuring three before fleeing. He was reportedly emulating white supremacist Brenton Tarrant's killing spree in New Zealand in March 2019.
"
10589,6/6/19,Harlingen,TX,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Harlingen, Texas, police arrested Joel Hayden Schrimsher on three counts of false information and hoaxes and three counts of explosive materials. An indictment handed down in October alleged Schrimsher planned to mail a bomb to the Federal Reserve, set fire to a mosque, and to set fire to and shoot up a synagogue. In addition to explosive materials, police also allegedly found white supremacist literature in his house.
"
8976,7/13/19,Tacoma,WA,Extremist/Police Shootout;Terrorist Plot/Attack,Left Wing,,Puget Sound John Brown Gun Club,"Left-wing extremist Willem Van Spronsen was fatally shot by Tacoma police during an armed attack of a privately-owned ICE detention center for undocumented immigrants. Police said Van Spronsen, who was armed with an assault rifle, tossed incendiary devices at vehicles and buildings and attempted to ignite a large propane tank and set buildings on fire. Van Spronsen was a member of the Puget Sound John Brown Gun Club, an armed anti-fascist group.
"
9060,8/3/19,El Paso,TX,Extremist Murder;Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Patrick Crusius launched a shooting spree targeting Hispanics at a Walmart in El Paso, Texas, killing 22 people initially and injuring 24 more; in 2020 one of the injured died of wounds sustained in the attack, changing the death toll to 23 killed and 23 injured.
"
9069,8/8/19,Las Vegas,NV,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Conor Climo was arrested on a federal weapons charge in connection with an alleged plot to attack several Las Vegas-area targets, including a Messianic church, an ADL office, and an LGBTQ-friendly bar. Bomb-making materials were also allegedly found at his home.
"
9071,8/11/19,Lombard,IL,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Daniel Waters was arrested on explosives charges after police allegedly found in his home materials used to make explosives. They also found a notebook in which Waters allegedly described plans to start a ""black ops"" militia group to gather intelligence on potential targets and to set up ambushes.
"
10587,11/1/19,Pueblo,CO,Antisemitic Incident:Harassment;Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Federal authorities arrested white supremacist Richard Holzer on multiple charges related to an alleged plot to blow up a synagogue in Pueblo, Colorado.
"
10588,11/19/19,Gainesville,GA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Police arrest a teenaged girl on charges of criminal intent to commit murder in connection with an alleged plot to attack an African-American church in Gainesville, Georgia. One law enforcement spokesman said white supremacist Dylann Roof's 2015 shooting spree at a black church in Charleston, South Carolina ""does appear to have played some type of role in this.""
"
11627,1/14/20,Newark,DE,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Three Maryland and Canadian members of The Base, a white supremacist group, were charged with weapons and other offenses. The members discussed opening fire at a pro-gun rally in Viginia in order to sow chaos.
"
11626,1/15/20,Silver Creek,GA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Three members of The Base, a white supremacist group, were arrested in Georgia on charges related to an alleged plot to murder people they thought were antifa activists.
"
13414,3/24/20,Belton,MO,Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Timothy Wilson plotted to blow up a hospital in the Kansas City area with Covid-19 patients in an attempt to cause mass casualties. He was killed in a shootout with the FBI as they attempted to arrest him.
"
13970,4/11/20,Texarkana,TX,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Police arrested Aaron Swenson following a car chase and brief standoff after he livestreamed himself saying he was going to ""ambush and execute"" a police officer. He has been charged with terroristic threats and other charges.
"
13971,4/15/20,Assumption,IL,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Federal agents charged Randall Burrus with weapons offenses in connection with an alleged white supremacist plot to attack a synagogue or mosque. This incident is linked to the 4/15/20 incident involving John Michael Rathbun.
"
13972,4/15/20,East Longmeadow,MA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Federal agents arrested white supremacist John Michael Rathbun for allegedly attempting to use an incendiary device to burn down a Jewish assisted living facility. This incident is linked to the 4/15/20 incident involving Randall Burrus.
"
19990,5/1/20,Loveland,CO,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Federal agents arrested anti-government extremist Bradley Bunn on explosives charges after discovering four pipe bombs at his home and the makings for more. According to law enforcmeent, Bunn intended to use the bombs against law enforcement. In March 2021, Bunn pleaded guilty to five federal explosives charges.
"
14271,5/8/20,Cleveland,OH,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Christian Ferguson was arrested on federal kidnapping charges for an alleged plot to ambush and kill police officers and start an anti-government insurrection. Ferguson was reportedly trying to start his own militia group.
"
14694,5/29/20,Oakland,CA,Extremist Murder;Terrorist Plot/Attack,Right Wing (Anti-Government),,,"On May 29, two men attacked security personnel outside a federal courthouse in Oakland, California, in a drive-by shooting, killing Federal Protective Services officer David Patrick Underwood and wounding another. Subsequently arrested for the attack were Steven Carrillo and Robert Justus Jr., who were allegedly associated with the anti-government extremist ""boogaloo"" movement. Carrillo faces federal murder charges and Justus faces charges of attempted murder and aiding and abetting murder. Carrillo allegedly killed another person on June 6 when law enforcement attempted to arrest him (see that entry for more details).
"
14269,5/30/20,Las Vegas,NV,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Three men--Stephen Parshall, Andrew Lynam, and William Loomis--with ties to the anti-government ""boogaloo"" movement were arrested on conspiracy charges in Las Vegas for an alleged plot to use Molotov cocktails against police at a protest over the killing of George Floyd. They had also discussed firebombing a power substation.
"
19992,5/31/20,La Quinta,CA,Terrorist Plot/Attack,Left Wing,,,"On May 5, 2021, Carlos Espriu was sentenced to five years in prison for an incident the previous May in which Espriu used a Molotov cocktail to attack a building associated with the Republican Party in California.
"
20183,5/31/20,La Mesa,CA,Terrorist Plot/Attack,Left Wing,,,"Zachary Alexander Karas was arrested for bringing Molotov cocktails to an anti-law enforcement protest with the alleged intent of using them. After his arrest, Karas told law enforcement that he had made the incendiary devices and brought them intending to set off fires but ultimately did not. In August 2021, Karas was sentenced to 33 months in prison.
"
20182,6/1/20,Pittsburgh,PA,Terrorist Plot/Attack,Left Wing,,,"Matthew Michanowicz was indicted for planting a backpack full of homemade incendiary devices during Black Lives Matter protests in Pittsburgh. According to authorities, the devices were capable of causing damage and death. In August 2021, Michanowicz pleaded guilty to violation of a federal firearms law.
"
15598,6/30/20,St. Peters,MO,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Cameron Swoboda, an anti-government extremist, was arrested on weapons and explosives charges in connection with an alleged plot to attack BLM protesters, the government, or the police.
"
16242,9/1/20,Pleasant Prairie,WI,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Federal agents arrested two Missouri militia members, Michael Karmo and Cody Smith, on charges of being felons in possession of firearms after a witness told police in Kenosha, Wisconsin, that the two were coming to Kenosha to ""loot and possibly 'pick people off.'"" Kenosha is the place where a deadly shooting occurred during Black Lives Matter protests in August 2020.
"
16241,9/3/20,Minneapolis,MN,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Federal agents arrested Benjamin Teeter and Michael Solomon, two adherents of the anti-government ""Boogaloo"" movement, charging them with conspiring to provide material support to the terrorist group Hamas in order to get assistance for their own plans, which allegedly included targeting politicians and media members, monuments, and a white supremacist group.
"
17070,10/7/20,Munith,MI,Terrorist Plot/Attack,Right Wing (Anti-Government),,Wolverine Watchmen,"Federal and state authorities in Michigan arrested 13 men associated with a militia cell called the Wolverine Watchmen on charges related to an alleged plot to kidnap Gretchen Whitmer, the governor of Michigan. Later a 14th man was also arrested. Six face federal charges stemming from the case while the remaining eight face state charges.
"
17731,11/29/20,Bellingham,WA,Terrorist Plot/Attack,Left Wing,,,"Two women, Samantha Frances Brooks and Ellen Brennan Reiche, were charged with state and federal charges—including a terrorism-related charge—in connection with a series of 41 sabotage incidents in 2020 involving placing shunts on railroad tracks, which can disrupt the safety features of railroads and even cause derailment. An anarchist website published a claim of responsibility for some of the incidents that linked them to efforts to prevent construction of an oil pipeline.
"
1682,2-Jan,Nashville,TN,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Michael Edward Smith was arrested in January 2002 after a motorist observed him pointing an assault rifle at a Nashville synagogue and alerted police. Smith, who admitted to associations with neo-Nazi and Klan groups, was sentenced to 10 years in prison on federal weapon and hate crime charges in March 2004.
"
1833,3-Jan,Olympia,WA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"James D. Brailey was arrested in January 2003 on federal firearm charges for plotting to kill Washington state Governor Gary Locke. Brailey pleaded guilty to weapons violations and was sentenced to 15 months in prison in 2004.
"
528,3-Jan,Chicago,IL,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Matthew Hale, the leader of the white supremacist World Church of the Creator, was sentenced to 40 years in prison in January 2003 for soliciting the murder of a federal judge who oversaw a trademark case involving the name of his group.
"
19097,1/6/21,Washington,DC,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Nine members/associates of the Oath Keepers, an anti-government extremist group associated with the militia movement, were charged with conspiring to impede Congress's certification of the Electoral College results for the 2020 election. Other Oath Keepers have been charged with lesser counts.
"
19994,1/6/21,Washington,DC,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"In June 2021, federal prosecutors indicted six men from California on conspiracy charges related to the January 6 storming of the Capitol building in Washington, D.C.  Four of the men arrested were allegedly involved with militia or Three Percenter groups.
"
