ID,Data,City,STATE,Type,Ideology,Address,group,description
1025,11-Jan,Hardy,AR,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Jason Walter Barnwell, Gary Don Dodson, Jake Murphy and Dustin Hammond were arrested in January 2011 for planning to use Molotov cocktails to firebomb a biracial couple’s home during the Martin Luther King, Jr., holiday. All four ended up pleading guilty to federal hate crimes charges. Another defendant, Wendy Treybig, also a white supremacist, pleaded guilty to obstructing justice in connection with the incident.
"
2318,11-Jan,Spokane,WA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Kevin Harpham was arrested in January 2011 after attempting to bomb a Spokane, WA, Martin Luther King, Jr., Day parade. Harpham confessed to planting a backpack along the parade route containing a pipe bomb designed to be triggered by a radio frequency system. He was sentenced to 32 years in prison.
"
72,11-Jan,Apache Junction,AZ,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Jeffrey Harbin was indicted in January 2011 for possessing and transporting an explosive device. He was sentenced to two years in prison after pleading guilty. Prosecutors in the case alleged that Harbin made the explosive devices to be used during vigilante operations on the Mexican border and designed them to cause the most carnage possible.
"
2248,13-Jan,Seale,AL,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Derek Mathew Shrout was arrested in January 2013 for plotting to kill a teacher and five classmates who were African-American, and one student who he believed was gay. In April 2014, Shrout pleaded guilty to first-degree attempted assault. A weapon of mass destruction charge was dropped. He received a sentence of two years’ probation followed by three years in prison.
"
19099,1/15/21,Napa,CA,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Ian Benjamin Rogers, an anti-government extremist associated with the Three Percenter wing of the militia movement, was arrested on 28 counts of illegal weapons and explosives. Prosecutors claim Rogers sent text messages about ""going to war,"" and about desired targets, including the offices of California Governor Gavin Newsom as well as the corporate offices of Twitter and Facebook.
"
2247,16-Jan,Seabrook,NH,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Daniel Musso was arrested in January 2016 for attempting to find someone to sell him grenades, shoulder-fired rockets, C-4 explosives and other items. He allegedly bought four grenades from an undercover informant, describing himself as part of a group of people who wanted to ""bring forth the original constitution."" As of this writing, Musso seems to still be awaiting trial.
"
881,2-Feb,Flathead,MT,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"David Earl Burgert and members of his ""Project 7"" militia group were indicted on weapons and conspiracy charges for plotting to kill judges and law enforcement officers in hopes of sparking a revolution. Burgert was convicted of weapons violations and served eight years in federal prison.
"
2593,3-Feb,Washington,PA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"David Wayne Hull, a Ku Klux Klan leader, was arrested in February 2003 in connection with a plot to blow up an abortion clinic. Hull was charged with manufacturing, possessing and transferring a destructive device in violation of the National Firearms Act. He was found guilty and sentenced to 12 years in prison in 2005.
"
2246,4-Feb,Scottsdale,AZ,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Dennis Mahon was arrested in February 2004 after he mailed a package bomb that injured two people at the Office of Diversity and Dialogue in Scottsdale, AZ, in 2004. Mahon was convicted of the bombing in 2012 and received a 40-year sentence.
"
465,7-Feb,Casper,WY,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Richard Serafin was sentenced to seven years in prison in February 2007 for firearms violations, including possession of firearms in furtherance of a crime of violence, after he told an undercover agent of his plans to move to the Arizona/Mexico border to assist in killing immigrants.
"
2088,14-Feb,Rome,GA,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Terry Eugene Peace, Brian Edward Cannon and Cory Robert Williamson, three North Georgia members of a militia group, were arrested in February 2014 for attempting to obtain thermite and pipe bombs in order to launch terrorist attacks against the federal government. The trio pleaded guilty in May 2015.
"
822,15-Feb,Elkins,WV,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Jonathan Leo Schrader was arrested in February 2015 on explosives charges related to what was described as a plot to blow up a federal courthouse. He also allegedly talked about setting off explosives during a popular festival, then shooting at first responders. Schrader had stolen 1½ sticks of C-4 explosives. He pleaded guilty in April 2015 to possession of stolen explosives.
"
1670,17-Feb,Myrtle Beach,SC,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Benjamin McDowell was arrested in February 2017 for possessing a firearm and ammunition even though he was a felon, making repeated anti-Semitic postings on social media, and wanting to commit an act of violence ""in the spirit of Dylann Roof."" In early 2018, McDowell pleaded guilty to a single count of being a felon in possession of a firearm and ammunition. As part of the plea deal, prosecutors agreed to request a sentencing range of between ten months and just over three years.
"
854,11-Mar,Fairbanks,AK,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Four sovereign citizens and militia members were arrested in March 2011 for plotting to murder federal and state government officials engaged in criminal cases against some of them. On January 8, 2013, a U.S. District court judge sentenced Alaska Peacemakers Militia members Schaeffer Cox and Lonnie Vernon to over 25 years in prison each. Lonnie Vernon’s wife Karen received a sentence of 12 years in prison. Coleman Barney received a five-year sentence on weapons charges. In 2017, an appeals court threw out Cox's conviction for soliciting the murder of federal officials but reaffirmed his murder conspiracy conviction.
"
1186,14-Mar,Katy,TX,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Robert James Talbot, Jr was arrested in March 2014 for attempting to interfere with commerce by robbery and solicitation to commit a crime of violence. Talbot sought to recruit five to six like-minded people to blow up government buildings, rob banks and kill law enforcement officers, as well as to attack mosques as ""training missions."" In October 2014, Talbot pleaded guilty to the charges against him, receiving a 78-month sentence.
"
1825,4-Apr,Oklahoma City,OK,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Sean Michael Gillespie was arrested in April 2004 for firebombing a synagogue in Oklahoma City with a Molotov cocktail in what was intended to be the first in a series of 14 terrorist attacks. Gillespie received an extended sentence in 2005 because after his conviction he tried to send a letter to the temple expressing his hatred toward Jewish people.
"
606,7-Apr,Collinsville,AL,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Raymond Kirk Dillard, Adam Lynn Cunningham, Bonnell Hughes, Randall Garrett Cole and James Ray McElroy were arrested in April 2007 for planning an attack on Mexicans in a town near Birmingham. All five men pleaded guilty to various weapons charges.
"
20002,4/8/21,Fort Worth,TX,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"In a sting operation, FBI agents arrested Seth Aaron Pendley on charges related to an alleged plot to blow up Amazon data centers.  Pendley, an anti-government extremist who posted on militia sites, allegedly hoped his actions would cause a government crackdown that would mobilize people finally to take action against what he termed the ""dictatorship.""
"
1606,8-Apr,Minneapolis,MN,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Robert Beale was arrested in April 2008 for conspiring to kidnap a federal judge presiding over his tax evasion case. Beale received an 11-year prison sentence on tax evasion, bail-jumping and threat charges.
"
1528,12-Apr,Mendota Heights,MN,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacists Samuel James Johnson and Joseph Benjamin Thomas were arrested in April 2012 in connection with what authorities said was a plot to attack the U.S. government, minorities and ""left-wing"" targets. Johnson pleaded guilty to being a felon in possession of a weapon and was sentenced to 15 years in prison. Thomas pleaded guilty to possession with intent to distributed methamphetamines and received 10 years in prison.
"
628,16-Apr,Columbus,OH,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Alphonso D. Mobley, Jr., and Roberto M. Innis, Jr., were arrested in April 2016 for planning to set off a bomb as a diversion while they carried out a bank or armored car robbery. They were charged with aggravated arson and criminal use, possession, and illegal assembly of a chemical weapon. In early 2017, Innis pleaded guilty to aggravated arson and criminal use of an explosive device. In May 2017, Mobley was sentenced to 14 years in prison on the same charges as part of a plea agreement.
"
20004,4/17/21,St. Cloud,MN,Terrorist Plot/Attack,Right Wing (Anti-Government),"400 8th Ave SSeattle, WA 98104",,"Federal authorities arrested Michael Dahlager, a Minnesota adherent of the anti-government boogaloo movement, after Dahlager allegedly told a confidential informant he was planning to attack law enforcement officers. However, as of this writing, Dahlager has only been charged with illegal possession of a machine gun.
"
5140,18-Apr,Irvine,CA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Orange County police officers arrested Nicholas Rose, 26, after a family member tipped them off that Rosen was plotting to kill Jews. A subsequent investigation revealed he allegedly had ""kill lists"" of prominent Jews and a list of steps he titled ""killing my first Jew."" Rose also allegedly was concerned about ""white genocide,"" a common white supremacist trope.
"
2490,4-May,Tulsa,OK,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Wade Lay and Christopher Lay, father and son anti-government extremists, were convicted of attempted robbery of the Mid-First Bank in Tulsa in 2004, and of killing a security guard during the attempt. Wade was sentenced to death and Christopher to life in prison without parole.
"
1900,5-May,Pennsville,NJ,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacists Craig Orler and Gabriel Carafa were arrested in May 2005 for selling guns and supplying 60 pounds of urea for a bomb to be used against one of several possible targets they discussed. Both men were sentenced on weapons charges.
"
1639,13-May,Montevideo,MN,Terrorist Plot/Attack,Right Wing (Anti-Government),,Black Snake Militia,"Buford Braden ""Bucky"" Rogers was arrested in May 2013 after FBI agents discovered various explosives and a semi-automatic rifle at his home. Rogers regularly talked of plans to use his militia group to cut off communications to the city of Montevideo, MN, raid the National Guard Armory and bomb the Montevideo Police Department. Rogers pleaded guilty to being a felon in possession of a firearm and possessing an unregistered destructive device, and received a 40-month prison sentence.
"
2426,17-May,Tampa,FL,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Brandon Russell, a leader of the neo-Nazi group Atomwaffen, was arrested in May 2017 after a shooting incident in which his roommate, Devon Arthurs, also an Atomwaffen member, killed their two other roommates (also members of Atomwaffen). In September 2017, Russell pleaded guilty to possessing a destructive device and storing explosive material. In his guilty plea — not part of a plea deal — Russell denied intending to make bombs. In early 2018, he received a five-year prison sentence.
"
332,17-May,Brighton,TN,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Patricia Parsons was arrested in May 2017 for plotting to kidnap a judge and a sheriff and take them to Canada. In December 2017, Parsons was sentenced to 60 months in prison, after pleading guilty in September to aiding and abetting solicitation to commit kidnapping.
"
20013,5/30/21,Kerrville,TX,Terrorist Plot/Attack,Right Wing (White Supremacist),"1216 Junction Hwy, Kerrville, TX 78028",,"Federal and local authorities arrested Coleman Thomas Blevins, a white supremacist from Kerr County, Texas, after determining that Blevins was ""preparing to proceed"" with a mass sooting targeting a local Walmart. However, as of this writing, Blevins has only been charged on a single terrorist threat charge.
"
508,5-Jun,Chattanooga,TN,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Georgia Klansman Daniel J. Schertz was arrested in June 2005 for making seven pipe bombs intended to be used against Haitian and Mexican immigrant workers in Florida. In a plea arrangement, Schertz received a 14-year prison sentence.
"
1173,7-Jun,Joliet,IL,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Brian Moudry received a 10-year federal prison sentence in June 2007 for setting fire to the house of an African-American family near where he lived. Eight children and one adult were asleep inside but escaped. Moudry pleaded guilty to using fire to interfere with housing rights on the basis of race.
"
1954,12-Jun,Plano,TX,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Anson Chi was arrested for attempting to blow up an Atmos Energy natural gas pipeline in June 2012. Chi was a member of both the sovereign citizen and tax protest movements. As part of the plea deal, prosecutors dropped a charge of carrying a destructive device during a crime of violent. Chi was sentenced to 22 years in prison.
"
12,13-Jun,Albany,NY,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Glendon Scott Crawford and Eric Feight were arrested in June 2013 on charges related to a plot to murder Muslims in upstate New York using a ""death ray"" device that would emit lethal radiation. Feight pleaded guilty and received an eight-month sentence. Crawford was convicted in 2015 of attempting to produce or use a radiological dispersal device (or ""dirty bomb"") and conspiring to use a weapon of mass destruction. He received a 30-year federal sentence.
"
561,13-Jun,Claxton,GA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Michael Lee Fullmore was arrested in June 2013 after telling an undercover agent that he wanted to fire-bomb a Catholic church in a Hispanic community in the Claxton, GA, area. On December 19, 2013, a federal judge in Virginia sentenced Georgia Ku Klux Klan member Fullmore to 52 months in prison for selling assault rifles to a convicted felon.
"
2376,16-Jun,Stockton,UT,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"William Keebler was arrested in June 2016 after allegedly attempting to set off a bomb at a Bureau of Land Management facility in Arizona. He was charged with one count of attempted damage to a federal facility by means of fire or explosive. In April 2018, he pleaded guilty to one count of attempted destruction of federal property by use of an explosive.
"
1949,14-Jul,Pittsburgh,PA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Eric Charles Smith was arrested in July 2014 for possessing 20 homemade bombs, related equipment and materials, and white supremacist literature and paraphernalia. One of the bombs had anti-Obama writing on it. Smith pleaded guilty in 2015, receiving a 7½ year prison sentence.
"
20185,7/16/21,Sacramento,CA,Terrorist Plot/Attack,Right Wing (Anti-Government),"1830 9th St, Sacramento, CA 95811",,"Federal authorities charged Ian Benjamin Rogers and Jarrod Copeland with conspiring to firebomb the Democratic Party’s state headquarters in Sacramento.  Rogers was already in custody for alleged threats he made in January against the governor and social media companies.  When arrested, Rogers allegedly had five pipe bombs and dozens of weapons in his home and shop. Both men had ties to the “Three Percenter” wing of the militia movement. The two allegedly planned a series of attacks they hoped would mobilize people angry at Trump’s election loss.
"
1308,4-Aug,Lenoir City,TN,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Ivan Duane Braden was arrested in August 2004 for threatening to kill a rabbi and children by blowing up a synagogue, as well as plotting to kill National Guardsmen and to blow up an armory in Lenoir City, TN. Braden later confessed to the plot and was sentenced to 15 years in prison.
"
2317,10-Aug,Spokane,WA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Wayde Lynn Kurt was arrested in August 2010 for planning to assassinate President Obama as part of a terrorist attack that he called his ""final solution."" His plans included a bombing that would ""dwarf"" the 1995 Oklahoma City bombing. Convicted in 2011, Kurt was sentenced to 13 years in prison.
"
1273,12-Aug,LaPlace,LA,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Seven sovereign citizen suspects were arrested in August 2012 after ambushing and killing two St. John the Baptist Sheriff’s deputies and seriously injuring two other deputies. Of the seven suspects, Brian Lyn Smith and Kyle David Joekel were charged with two counts of first-degree murder of a police officer and three counts of attempted first-degree murder of a police officer.
"
1285,13-Aug,Las Vegas,NV,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"David Allen Brutsche and Devon Newman were arrested in August 2013 for plotting to kidnap and kill police officers. In 2014, Brutsche, as part of a plea deal, pleaded guilty to a charge of felony conspiracy to kidnap police officers. Newman pleaded guilty in December 2013 to a misdemeanor charge of conspiracy to commit false imprisonment.
"
964,15-Aug,Gastonia,NC,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Three North Carolina men, Walter Eugene Litteral, Christopher James Barker and Christopher Todd Campbell, were arrested in August 2015 on federal conspiracy and explosives charges. Authorities said the men had stockpiled weapons and ammunition and attempted to make pipe bombs and grenades in order to combat the federal government, which they believed was going to declare martial law. All three eventually pleaded guilty and were variously sentenced to 21 or 22 months in prison.
"
1826,17-Aug,Oklahoma City,OK,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Jerry Drake Varnell was arrested in August 2017 after he attempted to detonate an explosives-filled van outside the BancFirst building in Oklahoma City. The van did not contain real explosives, however, as Varnell was the subject of an undercover sting investigation. Varnell was charged with attempting to use an explosive device and attempting to use a weapon of mass destruction against interstate commerce.
"
257,17-Aug,Bloomington,MN,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Four members of a small militia group dubbed the White Rabbit Militia were arrested in August 2017. Three of the men, Michael Hari, Joe Morris and Michael McWhorter, allegedly drove to Bloomington, MN, to bomb the Dar Al-Farooq Islamic Center mosque there. Also arrested, for other crimes but not this bombing, was Ellis Mack. The group also allegedly robbed Walmart stores and attempted to rob suspected drug traffickers in December 2017. In January 2018, they allegedly planted an incendiary device on railroad tracks and tried to extort money from a railway company by threatening to destroy more tracks.
"
1597,4-Sep,Milwaukee,WI,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Steven Parr was arrested in September 2004 for conspiring to blow up a building in downtown Milwaukee. He was sentenced to 10 years in prison in August 2006.
"
1602,15-Sep,Mineral Wells,WV,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Thomas David Deegan was arrested in September 2015 on a state charge of threatening to commit a terrorist act. He was plotting to take over the state government of West Virginia in Charleston by force, as a stepping stone to taking over the U.S. government. Deegan was convicted in 2016 for making terroristic threats and for a previous drug charge, getting a total sentence of 6-8 years for the two convictions.
"
592,2-Oct,Coeur D'Alene,ID,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Larry Eugene Raugust, an Idaho Mountain Boy militia leader, was arrested on explosives charges in connection with plotting to kill law enforcement officials. Raugust pleaded guilty to 15 counts of making, possessing and transporting pipe bombs and land mines and received a 77-month sentence.
"
2652,3-Oct,Wexford,MI,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Norman Somerville, a Michigan militia member, was arrested in October 2003 and charged for illegal possession of a machine gun, being a marijuana user in unlawful possession of four military rifles, and attempting to manufacture marijuana. Somerville was planning to kill police officers in a retaliatory attack. He was later convicted of unlawfully possessing machine guns and sentenced to 80 months in prison.
"
1516,4-Oct,Mckenzie,TN,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Demetrius Van Crocker was arrested in October 2004 after he purchased what he thought was C-4 and sarin nerve gas from an undercover federal agent. A jury found Van Crocker guilty of trying to acquire chemical weapons and explosives to destroy government buildings. He was sentenced to 30 years in prison.
"
217,8-Oct,Bells,TN,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacists Daniel Cowart and Paul Schlesselman were arrested in October 2008 for casing houses to rob in order to get funds to launch a murderous rampage, primarily targeting African-American children. Both men pleaded guilty to federal weapons and conspiracy charges. Cowart was sentenced to 14 years in prison, while Schlesselman received 10 years.
"
81,12-Oct,Arlington,TX,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Phillip Monroe Ballard was arrested in October 2012 for attempting to hire someone to kill U.S. District Judge John McBryde. Ballard allegedly wanted to kill Judge McBryde because he believed the judge would sentence him to the maximum sentence of 20 years in federal prison. In 2014, Ballard received a 20-year sentence for the solicitation.
"
248,13-Oct,Birmingham,AL,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Federal prosecutors in Birmingham, Alabama, charged white supremacist James David Kircus with unlawful possession of an unregistered firearm and a destructive device. According to an affidavit, Kircus constructed a bomb out of automobile airbags he took from the auto shop where he worked. Co-workers said he described himself as an ""Aryan"" and allegedly threatened to ""kill all those niggers at the halfway house by blowing them up."" He was convicted in March 2014 and received a ten-year sentence.
"
1062,16-Oct,Hilliard,OH,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"John L. Staley III was arrested for plotting a mass shooting at his high school in the Columbus, OH suburb of Hilliard. He was charged with a delinquency count of conspiracy to commit murder. In January 2018, Staley (later charged as an adult) entered a no contest plea to one count of conspiracy to commit murder; the following month, he was sentenced to four years in adult prison.
"
784,16-Oct,Earlton,NY,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Robert Twiss was arrested in October 2016 on a charge of unlawful possession of a rifle by a felon. The investigation began after the FBI allegedly learned that Twiss was forming a militia group with possible plans to engage in violence.
"
960,16-Oct,Garden City,KS,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Three members of a small militia group called The Crusaders, Curtis Allen, Gavin Wright and Patrick Eugene Stein, were arrested in October 2016 in connection with an alleged terrorist plot to use truck bombs to blow up an apartment complex inhabited primarily by Somali immigrants, where a small mosque was located. In April 2018, a jury convicted the three of one count of conspiracy to use a weapon of mass destruction and one count of conspiracy against civil rights.
"
1869,17-Oct,Oxford,NE,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Taylor Michael Wilson was arrested in October 2017 after he broke into a secure area of an Amtrak train and triggered an emergency stop. Wilson was carrying a loaded weapon at the time. He was charged under a federal law against ""terrorist attacks and other violence"" against railroad carriers and mass transportation systems, as well as several illegal weapons charges. In May 2018, Wilson asked to change his plea to guilty as part of a plea deal under negotiation.
"
5141,17-Oct,Oklee,MN,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Eric James Reinbold was arrested after a cache of pipe bombs was allegedly discovered on his property; a subsequent investigation reportedly discovered writings by Reinbold about sparking a ""second American Revolution"" and a range of targets, including the IRS, law enforcement, feminists, teacher conventions and the rich.
"
451,8-Nov,Camp Lejeune,NC,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Kody Ray Brittingham was arrested in November 2008 after threatening the president-elect of the United States, whom he considered a ""domestic enemy."" He later confessed that he planned to shoot Obama and was sentenced to 100 months in prison.
"
963,8-Nov,Gassville,AR,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Richard Bauer was convicted of aggravated robbery and four counts of kidnapping for a bank robbery in Gassville, AR, in November 2008. Bauer received four life sentences in prison after he claimed that he deliberately robbed the bank in order to get ""[his] money back"" from the IRS.
"
1432,11-Nov,Macon,GA,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Four men associated with a North Georgia militia group, Frederick Thomas, Dan Roberts, Samuel Crump and Ray Adams, were indicted in November 2011 for plotting to buy explosives and trying to make ricin to use in attacks against the government. The men had discussed dispersing ricin dust in major U.S. cities and assassinating federal officials and employees of federal agencies, and they had surveilled target buildings in Atlanta. Thomas and Roberts were sentenced to five years in prison, and Crump and Adams received ten-year sentences.
"
1607,15-Nov,Minneapolis,MN,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Allen ""Lance"" Scarsella was arrested in November 2015 after he and others travelled to a Black Lives Matter protest in north Minneapolis, where he opened fire on protesters there, shooting five people, none fatally. Scarsella was convicted of 12 counts of first-degree assault and one count of riot. In April 2017, he received a 15-year sentence.
"
520,15-Nov,Chesterfield,VA,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Three white supremacists, Robert Doyle, Ronald Chaney III and Charles Halderman, were arrested in November 2015 on a variety of charges related to plans to incite a ""race war"" by bombing or otherwise attacking black churches and synagogues, and other violent acts, including committing armed robbery to finance their plans. In 2016, Halderman agreed to plead guilty to one count of conspiracy to affect commerce by robbery, and the others subsequently made plea deals. Ronald Chaney III was sentenced to nearly nine years in prison, Doyle to 17½ years and Halderman to seven years.
"
484,17-Nov,Champaign,IL,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Three men, Michael Hari, Joe Morris and Michael McWhorter, were arrested In November 2017 after they allegedly drove to Champaign, Illinois, to bomb the Women's Health Practice, which performed abortions. They threw an explosive device into the building but it failed to detonate.
"
1,3-Dec,Abbeville,SC,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Arthur and Steven Bixby, father and son sovereign citizens, ambushed and killed two law enforcement officers at their home outside of Abbeville, SC, along with Arthur’s wife, Rita Bixby, who helped plan the ambush. All three Bixbys were arrested following a standoff and shootout. Arthur Bixby never went to trial, due to his injuries in the shootout; however, Steven Bixby received the death penalty and Rita Bixby a sentence of life in prison without parole.
"
313,12-Dec,Bowling Green,OH,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"White supremacist Richard Schmidt was arrested in December 2012 for possessing a large cache of weapons and a notebook with evidence that he was targeting Detroit-area Jewish and African-American leaders. In July 2014, Schmidt, a convicted felon, pleaded guilty to federal weapon and counterfeiting charges.
"
1495,13-Dec,Maplewood,MN,Terrorist Plot/Attack,Right Wing (Anti-Government),,,"Keith Michael Novak was arrested in December 2013 on fraud charges for allegedly stealing confidential personal information of hundreds of military personnel in order to create fake military IDs for members of his militia group, the 44th Spatha Libertas. He had also discussed blowing up a National Security Agency building and said that he had a ""target package"" for investor Warren Buffett. Novak pleaded guilty to stealing identification information and received a two-year sentence in 2014.
"
2662,15-Dec,Whitehall,NY,Terrorist Plot/Attack,Right Wing (White Supremacist),,,"Shane Robert Smith was arrested in December 2015 for illegally possessing machineguns and possessing a silencer, in connection with a plot to target Jews and African Americans for assassination. Smith pleaded guilty in 2016 to illegal possession of a machine gun and received a sentence of 37 months in prison.
"